,Test Year,Cost,Algorithm,BestModel,Predictors
192,2015,1,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=1.5, n_estimators=70)",BMK2
204,2015,20,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=1.5, n_estimators=30)",BMK2
210,2015,30,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=1.5, n_estimators=30)",BMK2
216,2015,40,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=1.5, n_estimators=30)",BMK2
222,2015,50,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=1),
                   learning_rate=1.5, n_estimators=30)",BMK2
240,2016,1,AB,AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5)),BMK2
252,2016,20,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   learning_rate=1.5, n_estimators=70)",BMK2
258,2016,30,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   learning_rate=1.5, n_estimators=70)",BMK2
264,2016,40,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   learning_rate=1.5, n_estimators=70)",BMK2
270,2016,50,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=5),
                   learning_rate=1.5, n_estimators=70)",BMK2
288,2017,1,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   n_estimators=70)",BMK2
300,2017,20,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   learning_rate=0.5, n_estimators=30)",BMK2
306,2017,30,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   learning_rate=0.5, n_estimators=30)",BMK2
312,2017,40,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   learning_rate=0.5, n_estimators=30)",BMK2
318,2017,50,AB,"AdaBoostClassifier(base_estimator=DecisionTreeClassifier(max_depth=3),
                   learning_rate=0.5, n_estimators=30)",BMK2
400,2015,1,LR,"LogisticRegression(C=0.1, penalty='none')",BMK2
404,2015,20,LR,LogisticRegression(C=10.0),BMK2
406,2015,30,LR,LogisticRegression(C=10.0),BMK2
408,2015,40,LR,LogisticRegression(C=10.0),BMK2
410,2015,50,LR,LogisticRegression(C=10.0),BMK2
416,2016,1,LR,LogisticRegression(),BMK2
420,2016,20,LR,LogisticRegression(),BMK2
422,2016,30,LR,LogisticRegression(),BMK2
424,2016,40,LR,LogisticRegression(),BMK2
426,2016,50,LR,LogisticRegression(),BMK2
432,2017,1,LR,LogisticRegression(solver='sag'),BMK2
436,2017,20,LR,LogisticRegression(solver='sag'),BMK2
438,2017,30,LR,LogisticRegression(solver='sag'),BMK2
440,2017,40,LR,LogisticRegression(solver='sag'),BMK2
442,2017,50,LR,LogisticRegression(solver='sag'),BMK2
512,2015,1,SVM,"SVC(C=0.1, kernel='linear')",BMK2
516,2015,20,SVM,SVC(C=10.0),BMK2
518,2015,30,SVM,"SVC(C=10.0, gamma='auto')",BMK2
520,2015,40,SVM,SVC(C=10.0),BMK2
522,2015,50,SVM,SVC(C=10.0),BMK2
528,2016,1,SVM,"SVC(C=0.1, kernel='linear')",BMK2
532,2016,20,SVM,SVC(C=10.0),BMK2
534,2016,30,SVM,"SVC(C=10.0, gamma='auto')",BMK2
536,2016,40,SVM,"SVC(C=10.0, gamma='auto')",BMK2
538,2016,50,SVM,"SVC(C=10.0, gamma='auto')",BMK2
544,2017,1,SVM,"SVC(C=0.1, kernel='linear')",BMK2
548,2017,20,SVM,"SVC(C=10.0, gamma='auto')",BMK2
550,2017,30,SVM,"SVC(C=10.0, gamma='auto')",BMK2
552,2017,40,SVM,"SVC(C=0.1, kernel='linear')",BMK2
554,2017,50,SVM,"SVC(C=0.1, kernel='linear')",BMK2
752,2015,1,GB,"GradientBoostingClassifier(max_depth=5, max_features='auto', min_samples_leaf=3,
                           min_samples_split=6)",BMK2
764,2015,20,GB,"GradientBoostingClassifier(max_depth=5, max_features='auto', min_samples_leaf=3,
                           min_samples_split=6)",BMK2
770,2015,30,GB,"GradientBoostingClassifier(max_depth=5, max_features='auto', min_samples_leaf=3,
                           min_samples_split=6)",BMK2
776,2015,40,GB,"GradientBoostingClassifier(max_depth=5, max_features='auto', min_samples_leaf=3,
                           min_samples_split=6)",BMK2
782,2015,50,GB,"GradientBoostingClassifier(max_depth=5, max_features='auto', min_samples_leaf=3,
                           min_samples_split=6)",BMK2
800,2016,1,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt')",BMK2
812,2016,20,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt')",BMK2
818,2016,30,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt')",BMK2
824,2016,40,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt')",BMK2
830,2016,50,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt')",BMK2
848,2017,1,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt',
                           min_samples_split=6)",BMK2
860,2017,20,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt',
                           min_samples_split=6)",BMK2
866,2017,30,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt',
                           min_samples_split=6)",BMK2
872,2017,40,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt',
                           min_samples_split=6)",BMK2
878,2017,50,GB,"GradientBoostingClassifier(max_depth=5, max_features='sqrt',
                           min_samples_split=6)",BMK2
1088,2015,1,RF,"RandomForestClassifier(max_depth=5, max_features='sqrt', min_samples_split=10,
                       n_estimators=200)",BMK2
1100,2015,20,RF,"RandomForestClassifier(max_depth=5, max_features='sqrt', min_samples_split=10,
                       n_estimators=200)",BMK2
1106,2015,30,RF,"RandomForestClassifier(max_depth=5, max_features='sqrt', min_samples_split=10,
                       n_estimators=200)",BMK2
1112,2015,40,RF,"RandomForestClassifier(max_depth=5, max_features='sqrt', min_samples_split=10,
                       n_estimators=200)",BMK2
1118,2015,50,RF,"RandomForestClassifier(max_depth=5, max_features='sqrt', min_samples_split=10,
                       n_estimators=200)",BMK2
1136,2016,1,RF,"RandomForestClassifier(max_depth=10, max_features='sqrt', min_samples_split=5,
                       n_estimators=50)",BMK2
1148,2016,20,RF,"RandomForestClassifier(max_depth=10, max_features='sqrt', min_samples_split=5,
                       n_estimators=50)",BMK2
1154,2016,30,RF,"RandomForestClassifier(max_depth=10, max_features='sqrt', min_samples_split=5,
                       n_estimators=50)",BMK2
1160,2016,40,RF,"RandomForestClassifier(max_depth=10, max_features='sqrt', min_samples_split=5,
                       n_estimators=50)",BMK2
1166,2016,50,RF,"RandomForestClassifier(max_depth=10, max_features='sqrt', min_samples_split=5,
                       n_estimators=50)",BMK2
1184,2017,1,RF,"RandomForestClassifier(max_depth=10, min_samples_split=5)",BMK2
1196,2017,20,RF,"RandomForestClassifier(max_depth=10, min_samples_split=5)",BMK2
